,read_name,avg_match,ref_start_primary,ref_start_secondary,ref_name_primary,ref_name_secondary,is_reverse_primary,is_reverse_secondary
0,5c5ac2bd-ce6e-424f-aca5-6aa9579f4bf4,24199.0,37240,76967,EM11,EM60,True,True
1,dda34a06-e5e5-406c-8d1e-3e655721ca58,21062.5,27213,58556,EM11,EM60,True,True
2,6f9d28a0-afc2-4fa4-9627-efb974e3551a,19331.5,43069,39880,EM11,EM60,True,True
3,ed58fa24-101c-4dcb-9bd6-3bf19fed05ed,17526.5,46598,72892,EM11,EM60,True,True
4,6141bbd4-9eda-4eec-a61d-6b533aabc8e8,17509.0,31379,24312,EM11,EM60,False,False
5,dc47a02c-d68b-4c5e-acc2-c1fa676e55c8,17470.0,49609,78469,EM11,EM60,False,False
6,caf114c6-19c3-42ff-94ac-b0f406af0e5e,16874.5,40446,37270,EM11,EM60,True,True
7,bc28a621-fcdf-46f7-b652-482c98e00200,16555.0,45617,42538,EM11,EM60,False,False
8,abadf7a1-5a08-4100-a505-e47df06dbd6b,16470.5,51000,74002,EM11,EM60,False,False
9,9e084086-711c-404a-b148-686436b6f654,16083.0,39878,38860,EM11,EM60,True,True
10,2e5ef3cd-2521-41aa-a5cb-74bb885c7a3b,15920.0,42140,35304,EM11,EM60,False,False
11,cb59071d-3806-42a0-a322-de68394ccbb5,15825.5,42145,26868,EM11,EM60,True,True
12,4d9c5877-faca-43e8-a2e5-5e77d01ed2ee,15710.0,42175,38986,EM11,EM60,True,True
13,e33bba5e-3e8a-4eb1-a327-73a9887647ec,15600.0,44593,41404,EM11,EM60,False,False
14,0a29c8c5-869d-4f1e-bd00-72f4bf89db9a,15474.5,42218,39029,EM11,EM60,True,True
15,59d87558-b791-4926-82a2-a8ce5dde0168,15460.5,42142,38953,EM11,EM60,True,True
16,85a2a265-55cf-47b4-8243-94ac609c13df,15399.5,42520,39331,EM11,EM60,False,False
17,677ff560-06cf-477a-a839-bd6967408c88,15341.0,42450,39312,EM11,EM60,True,True
18,0c1000f9-77b4-47c5-8703-f2ccee0dfe07,15233.5,42143,38954,EM11,EM60,True,True
19,f9b437c4-8e67-4da1-8fb8-a770cdaa514f,15119.5,47143,43954,EM11,EM60,True,True
20,b45af36b-0d0f-438e-97a2-6f6b39867e2c,15115.5,42182,38993,EM11,EM60,False,False
21,c434ca85-7688-49ae-8439-64e615d5799b,15089.5,46009,42924,EM11,EM60,False,False
22,8ec5c444-27b8-44a0-9b68-fbe05975b069,15027.5,42143,38954,EM11,EM60,True,True
23,52b0c79c-5779-4f12-b7fa-e38696c6f94d,14853.0,42062,38875,EM11,EM60,False,False
24,fd19fcfa-36ac-45f6-9b98-92bae0fb2cc1,14702.5,42182,38993,EM11,EM60,False,False
25,f0efb3d2-bd24-48c4-8747-73e5ece466b5,14601.5,42182,38993,EM11,EM60,False,False
26,92fb4810-1e82-4db8-ac26-92cfb95486ca,14571.0,49024,78403,EM11,EM60,False,False
27,4d1f39e8-e7d5-4d7c-b480-2a3deac5c0a3,14566.5,42946,39822,EM11,EM60,True,True
28,f76e9932-086e-4ed8-aff8-73e169556838,14448.0,42424,39235,EM11,EM60,True,True
29,61104d47-4fb7-4b67-8aa2-9f985806c8e5,14443.5,42142,38953,EM11,EM60,False,False
30,127a5d0d-f227-44d6-8956-0d1a74aa4470,14307.5,43248,40059,EM11,EM60,True,True
31,17c7a828-be39-4fff-861c-cf88dc9e26b5,14182.0,43535,40346,EM11,EM60,True,True
32,a27d0b53-c2b0-4518-bf54-331ea51c216b,14129.0,47110,43921,EM11,EM60,False,False
33,293b27ec-d6e2-4989-b61e-6ffa4f2afa5f,14068.0,42232,39043,EM11,EM60,True,True
34,cbddadb8-6211-4305-b0b6-bb962e7480bb,13793.0,48433,45304,EM11,EM60,True,True
35,4bd4823d-e744-425d-bef6-e707b961ec02,13712.0,42142,38953,EM11,EM60,False,False
36,fab197b6-81a8-4b36-9dc6-cc3fbef7a0fa,13709.5,30491,43973,EM11,EM60,True,True
37,9dc7aed2-59bf-4d14-b554-faab396e309a,13704.0,42142,38274,EM11,EM60,False,False
38,94825493-27df-4514-864c-44aedff38794,13650.0,47405,45020,EM11,EM60,False,False
39,8423ed86-9f39-442b-a960-a26f218d7411,13583.0,43311,40122,EM11,EM60,False,False
